protein	Training_1	Training_2	Training_3	Training_4	Training_5	Training_6	Training_7	Training_8	Training_9	Training_10	Training_11	Training_12	Training_13	Training_14	Training_15	Training_16	Training_17	Training_18	Training_19	Training_20	Training_21	Training_22	Training_23	Training_24	Training_25	Training_26	Training_27	Training_28	Training_29	Training_30	Training_31	Training_32	Training_33	Training_34	Training_35	Training_36	Training_37	Training_38	Training_39	Training_40	Training_41	Training_42	Training_43	Training_44	Training_45	Training_46	Training_47	Training_48	Training_49	Training_50	Training_51	Training_52	Training_53	Training_54	Training_55	Training_56	Training_57	Training_58	Training_59	Training_60	Training_61	Training_62	Training_63	Training_64	Training_65	Training_66	Training_67	Training_68	Training_69	Training_70	Training_71	Training_72	Training_73	Training_74	Training_75	Training_76	Training_77	Training_78	Training_79	Training_80
SLFN5	NA	NA	NA	NA	1.810590544	1.058310844	2.049667794	1.083701477	0.95400145	1.777870347	2.562212709	2.495030474	1.036879627	1.058310844	1.374945046	2.167472228	2.774965295	1.069285416	2.581324755	1.578454374	NA	1.058310844	2.460381913	1.108697774	1.020149409	1.583563284	1.006498598	1.13737691	NA	0.95400145	1.006498598	3.033309505	NA	3.006279362	2.125787754	1.058310844	NA	3.164336369	2.54759096	1.580809081	1.058310844	2.039141356	NA	NA	1.152981382	0.968208066	2.337864261	1.058310844	2.551759406	2.49305991	1.023540016	NA	2.629768613	1.362742738	NA	2.058073318	0.964670871	2.615529297	NA	1.058310844	1.341365239	1.680231615	2.056770461	1.738569361	NA	1.864478432	2.05473101	1.058310844	1.043701677	1.590741731	NA	2.301164662	3.296436777	0.978762575	3.197396399	NA	1.975923695	NA	2.836073792	1.075282324
SLIRP	3.026102645	3.817916337	3.307431657	3.749009817	2.922651077	3.066396362	3.104814995	2.756376051	3.928037224	3.639275126	3.570828428	2.314436048	1.269089608	3.369395046	3.215746794	3.955436923	3.083863065	2.113980265	3.348792182	3.502434798	2.395085752	2.402293153	1.929371765	4.213338648	2.435210291	2.627729238	3.046328273	2.267318912	3.353435032	3.387692237	3.315389983	3.607740513	3.688010246	4.459413222	3.33858237	3.132342003	2.445517383	3.36997596	3.24545493	4.011927058	4.38244897	3.407137429	2.272514956	2.960261952	2.379626499	3.970098911	3.314525172	2.173486315	3.01985368	2.799474611	4.112236856	2.439985396	2.115913035	3.418732987	2.102323212	4.049311059	3.596690609	3.188800696	3.198303617	3.384482424	2.979559244	3.719216975	3.403597113	3.354981679	2.463367231	3.030387462	1.433390802	3.236477787	1.276661424	4.425743136	3.12117613	3.493321756	3.251073881	3.718533326	2.496885212	3.955598997	NA	3.280660117	3.346606403	4.035555646
SLK	2.540542143	1.236403383	2.178524071	2.383979472	2.61069595	2.027751338	2.093132539	1.279493174	2.226300817	2.607479891	3.31192462	NA	NA	2.19499154	2.102168286	1.964554684	1.931830614	2.175461195	2.682053337	2.152263811	1.57123633	2.924836701	1.290608027	1.774291946	2.035203006	1.259206754	2.481495984	0.783579796	1.354937167	1.989266629	2.02441491	2.875537856	2.71403134	1.130213801	3.005174935	2.387509645	2.65043941	1.843314006	2.083626174	2.526315015	1.770375853	NA	1.880505486	2.896292218	0.796498567	3.899640641	4.019580624	1.481176682	2.488912366	1.313725013	2.75460185	1.309909579	2.177384971	2.732317324	NA	2.415380496	1.247204332	2.168407391	NA	2.621747799	2.783687239	1.600148915	2.515834921	2.899831999	3.323822708	2.572949397	NA	2.201608489	NA	1.271093497	1.467598259	2.307307992	3.504912081	2.704764238	2.978490042	2.553357027	NA	2.313134704	1.71383793	2.440620259
SLMAP	2.511819796	NA	1.733312484	3.608910294	3.584775189	1.53941251	2.953498155	1.081594347	3.8609082	3.68001947	3.831565014	1.161397028	3.30695687	4.083238328	0.95134387	1.825610131	2.969148528	3.686022213	3.068943366	NA	4.96359725	2.055722152	3.388352171	1.922461859	3.418555469	4.132289171	3.793488654	2.000232693	NA	3.891589932	NA	1.261370321	2.13876389	2.050257709	4.144807731	2.340357488	2.659266373	2.112195857	1.056953379	2.118616261	1.05364678	1.962615555	NA	3.202779682	5.320067379	1.483674325	3.98475232	1.05364678	2.099034079	4.762543883	2.123702299	4.105332444	1.765718859	3.88984673	2.756125151	2.619612757	2.119780353	1.757687872	3.587859813	1.05364678	1.05364678	1.629502845	2.172375892	2.69099879	1.010404928	1.800559573	1.169153962	2.327712787	4.293646772	1.546347923	2.927554011	4.489269075	NA	0.974666507	2.415401165	NA	1.146226281	NA	2.295144397	NA
SLTM	1.441385137	0.963022604	2.160682091	NA	1.179352098	2.403138311	1.827051287	0.970413703	1.750487715	1.963037324	1.280408591	1.302023509	1.145418684	1.671718916	1.520321229	2.087073958	1.328373405	2.014627313	1.710833526	2.338714466	NA	2.035641051	NA	0.99236334	NA	1.750096271	1.111579915	NA	2.434814207	1.819453337	2.374167259	1.42058529	1.806749293	1.736587124	1.988033563	2.212965087	NA	1.785677535	1.764538264	1.790768885	1.987126474	2.247820827	1.681267908	0.970413703	NA	3.035987519	1.293881191	2.53662044	1.775241936	1.130563643	2.436185622	1.126787152	1.183770397	1.963037324	NA	2.799020327	1.609494425	2.007202775	NA	2.194382296	1.827335332	1.856161704	1.833421017	0.963837578	1.123000588	NA	NA	1.313420528	1.15301404	1.757981277	1.284127903	NA	1.234954084	NA	1.768122563	1.590035585	1.28403043	1.923941434	NA	1.517231422
SMAD2	1.045057765	1.04909294	1.04909294	1.06307479	NA	1.449570849	1.047652929	NA	0.972888898	1.12663128	1.604762254	NA	1.058742906	1.032887594	1.409133063	0.972888898	1.229357644	1.092320851	0.98760297	NA	NA	1.032887594	NA	2.153002788	1.736137658	0.994900889	NA	NA	NA	1.294239249	1.72547493	1.72547493	NA	1.032887594	0.972888898	1.840108334	NA	1.546096988	1.03575836	1.036955149	1.032887594	2.096996079	NA	NA	NA	NA	2.184295477	1.032887594	NA	NA	0.972888898	1.04140921	1.094447161	NA	1.085625902	0.972888898	1.492911983	1.093176599	1.082978675	1.43515759	2.2284126	1.313394693	1.554771482	NA	1.037887345	1.916258738	NA	NA	NA	1.00577508	NA	0.994900889	1.343848878	0.998535258	1.041011854	NA	NA	NA	0.974339493	NA
SMAP1	0.957336887	1.46394778	1.846966479	1.864200487	1.185826426	1.6852245	NA	NA	1.769500179	1.666247812	1.056982284	NA	1.151195959	1.65260731	1.056982284	1.383827136	2.075076808	1.188005862	2.204869823	1.39442878	NA	1.347997387	1.842408291	1.617256309	NA	1.081150243	1.116670783	1.014329273	1.177766684	1.056982284	1.877577498	1.432212968	1.391298691	0.946385905	1.056982284	1.677210651	2.954325811	NA	1.743033977	1.768586002	1.303293873	1.789863468	NA	2.199320695	1.027741929	1.073138462	NA	0.946385905	0.951557349	NA	1.490802842	1.891411194	NA	1.986890231	NA	1.056982284	2.466107007	NA	NA	1.309318415	0.946385905	2.561753335	0.955831301	1.905460479	1.128322106	1.630924988	1.320477707	1.665815575	NA	1.093086369	1.292802647	1.081150243	1.623253067	2.614889326	1.746525603	1.932947582	1.292703097	1.898302327	1.058575216	1.502059616
SMARCA2	NA	1.082809414	1.082809414	1.097844954	1.061005478	1.514436353	1.081261097	1.091453094	2.138062305	1.09538981	1.150239832	NA	1.03107302	1.065387629	2.039847369	0.949668617	1.575726029	NA	2.289599883	1.069760011	1.195895163	1.986508492	0.997824481	NA	NA	NA	NA	1.14657667	1.054038458	1.629158382	1.001238108	1.661971495	1.065387629	1.065387629	1.780067173	1.935896896	2.023458285	1.618617608	1.582684085	1.069760011	1.491698096	2.013701739	NA	1.762561326	NA	NA	1.162147674	1.065387629	1.586758521	NA	1.017973985	1.674068401	1.064903925	0.949668617	NA	0.949668617	1.44198121	NA	NA	1.498881624	1.79630112	1.992809585	2.092854388	1.083762519	1.011305966	NA	NA	NA	1.037771574	0.980860529	NA	1.531418203	NA	NA	1.61234553	2.237390391	NA	1.091453094	1.375198705	NA
SMARCA4	2.258142329	2.075419573	1.431754342	NA	2.056525549	2.508889099	0.919847012	NA	1.09484326	1.26386654	2.106935162	NA	NA	0.906668146	1.571556163	2.448415496	1.09484326	1.226247219	2.235684738	1.354152557	NA	1.682299693	1.877406612	NA	1.17031955	1.119115879	2.399639934	0.974129713	1.215994177	1.09484326	NA	1.09484326	2.226527173	1.678037607	1.09484326	1.905154491	0.998216214	0.917530062	1.70556028	NA	1.925070896	1.123121112	1.623596101	1.49148807	0.987466623	1.111071218	1.09484326	1.95698049	1.999540264	1.174182583	2.072528265	NA	NA	1.557854804	NA	2.862964816	1.662149064	1.227186189	1.215994177	2.274513952	2.409900462	1.467676667	2.107505173	1.869953845	NA	1.107031658	NA	1.895217721	1.197141898	NA	NA	NA	1.847307126	NA	1.364332739	0.928311524	1.330946282	NA	NA	2.106922922
SMARCA5	3.378001879	3.673439567	3.05151826	3.172794811	3.532872125	3.876853856	2.993827934	2.357026633	3.015187577	3.168678296	3.708697248	2.217879757	3.143052328	3.561641178	3.279800832	3.298451259	3.177038655	2.017078226	3.925924289	3.605892568	1.00799312	2.927243766	2.955801909	2.293488049	2.660881006	2.185861677	2.955801909	2.098550845	3.487902121	3.149180468	2.716415489	3.095541296	3.786450708	3.579383803	2.859212438	3.329629671	2.841270622	3.476879588	2.98981185	3.38472212	3.534085639	4.141785762	3.113481202	3.076925827	2.204602446	3.34470735	4.159312877	4.072973267	3.437247569	2.371905739	3.575650976	1.878648785	3.762055722	3.599862758	1.20928464	3.457907597	3.351468877	3.834705236	2.466425095	3.305523058	2.969140216	3.353423009	3.852113438	2.914570666	2.965403954	3.125378036	2.792053725	3.66694643	1.188589704	3.955414532	2.684813047	3.408952856	3.831560008	NA	3.043617098	3.7761642	3.072880431	3.089261776	3.260066889	3.538310685
SMARCB1	1.040293273	1.045007652	1.720127214	NA	1.086928715	NA	1.043325008	NA	1.568619049	1.119894836	1.172380917	NA	NA	1.43066022	1.374722535	NA	1.21288076	NA	0.993269148	NA	NA	1.02608786	1.026213937	NA	1.667188367	NA	1.0294992	NA	1.080242737	0.979805448	1.0294992	0.979805448	NA	1.02608786	0.979805448	NA	2.093622614	2.110063679	1.029436899	NA	1.02608786	1.585396099	1.096190665	1.05440545	1.132027302	NA	1.804962793	1.02608786	1.032793887	1.045597474	1.791352287	1.669081435	1.090668957	0.979805448	NA	1.706336028	0.989918045	NA	1.080242737	1.02608786	1.02608786	1.288657841	1.648206467	NA	1.039185127	0.989918045	NA	1.02608786	NA	1.00987922	1.175522548	1.534454234	1.02608786	NA	1.035568534	1.05440545	NA	1.811096348	0.98113336	1.045007652
SMARCC1	2.987411062	1.028119677	2.276131576	1.041689988	1.11220377	2.096676202	1.026722042	1.035921456	2.526601176	1.56368316	1.94993695	NA	NA	2.037862232	1.439208937	0.991683955	0.991683955	NA	NA	1.016338996	NA	2.402422005	1.730074467	NA	1.062001004	NA	1.047488226	NA	NA	2.29873234	2.266543206	1.343324738	2.411369381	1.458999423	0.991683955	1.796306144	1.875257287	2.166966041	1.478260668	2.184988394	1.396395542	2.143492252	1.070526928	2.020010093	NA	NA	1.932543617	1.432152437	NA	1.065605811	2.51676051	NA	1.918865804	1.866870015	NA	2.163513281	1.003024348	1.115122451	NA	1.012391078	2.174144786	1.341037706	1.937869224	NA	1.05838689	1.003024348	1.238403189	1.784155938	1.087041921	2.461602225	1.212443973	NA	2.983568004	NA	2.137893447	1.685119887	NA	1.035921456	1.872946076	1.028119677
SMARCC2	2.792997676	3.375705841	2.480852576	2.795423045	2.0910001	2.312699909	2.564937885	2.759433159	2.158007906	2.764464401	3.075039694	NA	2.921239502	3.041534475	2.031814672	1.480220365	3.089156697	2.106293505	2.891309754	2.244336579	1.678338591	2.986059585	2.7671953	1.507660845	2.431583906	1.184322202	2.76634782	NA	3.36258591	2.217047208	2.810996269	2.563993663	2.917917236	2.622295386	2.080598413	3.036608939	1.650044007	3.25888299	2.572363811	3.166324629	2.783582674	3.218828832	2.285773319	2.958786808	2.390713495	2.217047208	2.640985604	2.647126068	2.880078288	3.061669039	2.511593695	2.436421717	1.291778539	2.409173278	2.094495938	2.633011665	3.057443616	3.195589391	2.915064792	2.696046686	3.196337645	2.861623154	2.067667029	2.603427976	NA	3.220908869	2.886907973	2.794350307	1.260977804	2.926057723	3.127000278	1.810714105	3.344670831	1.869003159	2.149335836	2.630458261	2.795888308	2.148141156	2.702559513	2.707977959
SMARCD2	1.403929592	0.952357476	1.445901572	NA	2.070330789	0.93822828	2.359833113	NA	1.070643979	1.070643979	1.310433674	NA	NA	NA	1.070643979	1.40851139	1.361103383	NA	NA	0.941774773	NA	1.685591973	NA	NA	NA	NA	NA	NA	1.195428494	1.880563607	NA	NA	2.417347175	1.957702399	1.59138398	2.129215879	1.715773491	NA	NA	1.732442782	1.916959271	NA	NA	0.959365819	NA	1.087328348	1.779911587	2.433621629	0.943239399	NA	2.087078585	NA	1.208420203	1.549789374	NA	2.666810233	NA	NA	NA	2.111747179	1.173784177	1.456050908	1.393869526	0.953130314	NA	1.083174247	NA	1.888544466	2.012226601	1.107931588	1.314361944	1.764668243	1.842923095	1.099723511	1.381187809	NA	NA	1.511655355	1.578890255	NA
SMARCE1	1.801665134	1.833724491	1.487297073	NA	NA	1.699940664	1.474588504	1.520582848	2.0838617	1.975586433	2.063748727	NA	1.965442143	1.667492465	1.949398941	1.36961123	1.323658266	NA	2.583155861	0.966340472	NA	1.734550852	1.098069669	NA	1.117541039	1.756509379	1.844477989	1.691968954	1.16315317	1.827837745	2.399052161	1.418144593	1.798316983	2.014838757	1.546981639	1.330847612	1.76566107	0.97364654	1.757434629	1.412416651	1.972899203	NA	1.676748506	0.984532796	1.044155423	1.688450801	1.042338929	2.262066575	1.767802504	1.121395862	2.02869585	1.117541039	2.030780991	1.975586433	NA	1.491019294	2.458245445	1.174341153	1.16315317	1.676748506	2.254383291	1.865600859	1.433580602	0.978084204	1.113676216	1.054467998	NA	1.319519944	1.144317614	1.764616984	NA	1.06649924	1.896663755	NA	2.226120113	NA	1.27826261	1.555158316	1.982037903	1.517631759
SMC1A	3.401082396	4.267627466	3.615202003	3.301993403	4.084616734	2.838427777	3.616038154	3.068054747	4.020340272	4.04295134	4.091721242	2.775659838	2.894373517	3.874324164	3.749691241	4.040576056	4.458512675	2.078515787	3.701768103	3.72221367	2.904030711	3.435087941	2.739982256	3.246543895	2.727991953	3.633029337	3.49773919	2.772313578	3.558596146	2.189236357	2.783875231	2.536430796	4.223349624	3.992965183	2.67212357	3.881911951	3.814465232	3.585975114	3.267917733	4.256163484	4.227627791	2.6550978	4.151418337	4.026476557	2.639926153	4.1542104	3.974406194	4.316949904	3.612224723	3.261555947	4.357676809	2.745063933	3.448413438	3.403493904	2.522450946	4.045759387	3.240719197	3.906113941	2.888183671	3.103307396	4.156586262	3.959726036	4.234119943	3.37433691	3.255662636	3.711314215	2.859959081	4.332176414	3.312352972	3.716376124	3.371833291	4.310667408	4.365959202	1.841520343	3.815663719	3.792783636	3.428689294	2.640199944	4.05224697	3.215382708
SMC2	1.031692256	1.035767184	2.341149922	NA	3.387356761	3.353559406	2.856866143	1.646090354	1.929549554	0.98526411	3.564042635	NA	NA	2.091611048	2.811816774	NA	2.215795387	NA	0.999907586	1.522217001	NA	1.470165192	NA	NA	NA	NA	2.809413205	1.095660591	2.273895422	NA	1.039364961	1.32561708	3.076730283	1.485499114	1.442284325	2.580918048	1.921291126	1.539477244	1.91206283	1.023510731	3.481901522	NA	1.821512628	1.043885625	1.110717994	3.634784165	3.081130956	1.457419293	2.469682628	NA	2.458401606	NA	NA	2.435858049	NA	3.153516303	1.915119917	1.872421309	NA	1.426786601	2.467975139	1.731185711	2.353051926	2.093019723	1.741914066	1.50629913	1.224181134	2.773548187	NA	2.936598173	NA	NA	2.756408919	NA	2.436451221	2.452230937	NA	NA	2.698796699	2.038595903
SMC3	3.462194646	3.644066735	3.157036419	2.729168181	2.468793017	3.975822934	3.982807326	2.987793833	4.123274334	3.821750175	4.565747208	1.334437091	2.458489724	3.856805622	3.936072565	4.496722676	3.625082601	2.80082688	3.476798418	2.597250285	NA	3.885259044	2.318444164	2.706682682	2.674711078	3.735191019	3.651296325	2.383835938	3.054542393	3.45363672	3.247682334	2.938466139	3.665955264	2.296719374	3.271427238	4.000850959	3.730196321	3.811258844	3.23361311	3.636353162	4.200094565	2.89235069	3.388375594	3.486652168	2.707487228	3.192194752	4.187205143	4.21154561	3.768716601	2.382929368	3.371006807	2.354734963	3.154779388	4.370320693	2.012898192	4.424548367	3.677641395	3.118138514	3.360062251	3.464086375	4.551514526	3.799760399	4.085335162	3.435725846	3.204793667	3.143675104	2.265377247	3.770751472	1.95647716	3.327095957	3.048981189	3.740663769	4.462277785	NA	3.676686261	3.271211979	2.182971372	2.25179579	3.457122221	2.17085146
SMC4	1.809740233	NA	NA	0.988811407	3.432108651	2.842563481	1.478707719	NA	1.752782477	1.044729682	3.261954201	NA	NA	1.272323187	2.811949615	NA	1.762071694	NA	1.712429262	1.413759104	NA	0.961341084	NA	1.638317393	1.871838571	1.068707861	1.103955103	NA	NA	NA	2.388139949	1.417340024	3.072455255	0.961341084	1.044729682	0.961341084	2.212764438	2.049479995	1.39885246	2.066572469	2.957960232	1.072666356	2.838838951	1.910231445	NA	2.824987041	2.791103094	2.014756676	1.402302937	NA	3.288195831	NA	NA	2.342434411	NA	2.821300498	1.609340365	1.175692016	NA	1.683288725	2.268143162	1.860353289	2.649144304	2.46916967	2.396582781	1.05676781	1.306316008	2.199836149	NA	2.205917353	2.188959412	NA	2.827065208	1.772430205	2.9516524	1.593752862	NA	NA	2.654972137	1.522258307
SMCHD1	1.654978607	2.117305033	NA	1.112610158	NA	1.959082289	3.017841452	2.138934806	1.147282952	2.894241923	2.711155127	1.157109009	1.019228774	1.448080051	3.141271922	2.884171999	3.768614105	1.05094149	2.277943893	2.067890444	2.068049514	1.080083027	2.066698801	NA	2.09632087	0.958925211	0.989498971	NA	NA	1.616512617	0.989498971	1.967176732	NA	1.995100045	1.767517019	1.520098167	1.190411564	2.358393562	2.608839963	1.084465465	2.577868019	1.572695062	NA	1.106205427	1.177479535	2.898863876	1.805881975	1.97000415	2.828378809	2.916679635	2.657674229	1.66144122	NA	0.938129769	NA	0.938129769	1.82570364	2.219945511	1.780149536	1.93160113	3.025624214	2.25279571	1.642604635	1.098498802	2.445799439	2.445811085	2.5300382	NA	NA	0.969197662	NA	0.958925211	3.923115194	NA	2.955499476	1.106205427	1.141241733	1.106205427	1.750708913	2.490200919
SMIM20	0.9672466	1.430546099	NA	0.98224636	2.127791447	1.630715928	NA	0.977299584	1.055370917	NA	NA	NA	NA	1.60125872	1.055370917	1.055370917	1.055370917	NA	1.073019723	0.960496774	NA	0.957107333	1.116327592	NA	1.137659663	1.08177791	NA	NA	1.187694973	1.442842422	1.120655371	1.96476729	1.364620924	1.337700988	NA	0.957107333	1.690355418	0.9672466	1.35403539	1.70594129	1.614239576	1.086140619	1.006956261	NA	NA	NA	1.055370917	1.906611364	1.692298252	NA	1.055370917	NA	1.2015119	1.566608203	NA	1.055370917	NA	NA	NA	0.957107333	1.181038532	1.055370917	1.743404977	1.493207965	NA	1.068624149	NA	1.284602531	NA	1.09483351	1.31442698	1.08177791	0.957107333	1.086140619	1.376664492	0.977299584	NA	NA	1.057110259	0.970607104
SMPD4	0.965361035	1.528841186	1.95904231	1.625200991	1.922545613	1.777195405	0.967929429	1.574886039	2.28367349	1.596444645	2.483890981	NA	NA	2.023412609	2.182116576	1.731068132	2.272049824	NA	1.052638365	2.212331067	NA	2.410417726	1.089135835	2.090008723	NA	1.060029533	1.770227513	1.768190276	1.889164173	1.361087711	NA	1.037727784	1.888402213	2.680698499	1.912498069	2.333430413	NA	2.412046021	2.146988481	2.179383214	1.75669357	1.063709309	NA	2.004511152	NA	2.373688392	2.240649764	1.386352905	2.168610969	1.110616904	2.155252258	NA	2.411736843	1.463126061	NA	2.174259129	1.559055123	1.159302567	NA	2.31307579	1.910951161	1.380231191	1.477035745	NA	1.103510117	1.564175142	1.280085205	1.349136973	NA	1.071037557	NA	NA	2.698433404	NA	1.462328798	NA	1.254608003	0.977313875	1.895014813	2.287591714
SMPX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.175785689	NA
SMS	2.437054091	1.677375699	2.248498344	2.625927965	1.323645155	1.833567657	3.123270799	1.993929415	3.100162973	2.923673442	2.157313375	1.444092065	NA	2.265191752	2.370868836	3.077159707	2.460607869	2.125316511	1.837953424	2.485801511	2.391524297	2.160243201	2.411128362	2.60201637	1.986535594	2.631012438	NA	0.821274165	2.076758099	1.941114848	1.256524504	2.308332312	0.754099968	1.881319939	2.10029649	2.460172523	NA	2.161893822	1.894802089	3.067340485	2.121832746	1.22575851	2.808566865	2.794742341	2.061533169	1.81228216	2.990700491	2.645458258	2.156442247	2.020090548	2.344016513	1.988658609	1.328005934	3.071957184	1.318654933	1.198192384	1.741215459	1.326659706	2.11353697	2.430736249	1.39114034	2.322166164	2.589970227	2.383617012	2.469326771	2.165726714	3.275415299	2.471720221	1.297612508	2.647344893	1.426598491	3.106071636	3.167443835	1.894012857	2.314864531	2.138478069	3.156133971	2.816407729	1.669143432	1.718329454
SMTN	2.794114511	1.181555398	NA	5.515555005	4.432131644	1.163216229	4.3024395	3.360053116	4.54015548	4.120925709	4.402808389	3.203637947	4.179659987	4.874542479	0.880044685	0.880044685	1.734134903	3.821454985	4.195361553	NA	5.785467262	2.747525253	4.037969961	1.992884838	3.826342318	4.64579641	4.956550023	1.248560112	NA	4.55635841	0.929132466	2.365542377	1.163216229	3.029705387	4.979640444	3.650295094	3.037624145	2.484075325	NA	1.723110037	2.053201977	2.507527176	2.04706146	2.318737704	5.538909131	2.11639231	4.168499991	3.948551983	3.629894963	4.934038326	1.482416641	4.772586697	NA	4.040519405	4.103091967	2.400288407	3.388482522	NA	4.359316703	1.163216229	2.218867092	3.239287049	2.619153427	3.399210612	NA	0.890014767	NA	3.066291113	4.693727541	1.480413576	4.177465061	4.819134094	NA	3.068582986	2.451423844	2.724995	1.848190573	NA	1.664181974	NA
SMU1	3.245434505	2.594339569	2.922713571	3.173716107	3.842631415	3.279315187	2.077689706	2.111678114	2.878721525	3.497696231	4.029987665	1.986487373	3.024147061	3.034708565	3.180132603	2.635990705	3.256870643	3.252270955	3.16012791	3.471701017	1.310804713	3.21349753	2.811339831	1.891206802	2.776164265	3.110128795	2.811339831	1.266613854	2.206576549	3.031127741	3.121457284	2.970059082	3.616549982	3.048388174	2.941265464	3.145015212	3.372441043	3.253769055	2.017125322	3.146959973	3.755947735	3.227754631	3.054352428	2.866549643	2.428966179	3.752519691	3.270457387	4.191985651	3.240176693	3.302246787	3.518880139	2.816306054	3.522915569	3.05437751	1.755248952	3.977100431	3.262046015	3.651369586	2.657823805	3.386583587	3.20625066	3.066430047	3.766797339	3.324962799	2.527549627	3.226539145	1.064830794	3.869051743	3.542476342	3.598847007	2.505413822	3.107872343	3.521125772	NA	3.35115262	2.733667504	1.938289586	3.20061857	3.525096575	3.483294772
SNAP23	1.520255049	1.551365477	0.754718058	1.8470773	1.411874299	2.890787298	1.781690939	2.618014848	2.020191346	2.522699293	1.273445469	2.510531804	NA	2.062301105	1.273445469	2.065274756	1.573135648	1.414200147	NA	2.024597046	1.51092027	2.54337734	NA	2.177658746	NA	2.019782315	1.33780758	2.633401939	2.24104325	3.126061426	1.33780758	1.273445469	1.517010604	1.72853507	1.273445469	2.519642137	0.823397964	1.751794997	1.964022556	1.502025411	2.159248173	1.303859849	2.325984466	2.337663472	0.813784022	1.950469703	1.535994258	2.217080058	2.321669253	1.358603548	2.533796865	2.645616173	2.296389603	1.763725168	1.406367629	1.273445469	2.333630141	1.415200824	2.281384483	2.55607069	2.461888325	1.273445469	1.542059544	1.277639437	1.35032317	1.286563463	1.55468188	1.658614812	1.383147387	NA	NA	NA	1.852844943	1.303859849	2.412055646	1.315341055	1.525367286	1.936843559	1.792885202	1.248389459
SNAP29	NA	1.0139184	NA	1.02779866	NA	0.99783727	1.012489144	1.615152097	NA	NA	1.63646899	1.235795722	NA	0.99783727	NA	1.302629701	1.002357962	1.122740762	1.017205872	1.492915472	NA	0.99783727	1.053576809	NA	NA	1.657015378	2.558727228	NA	1.113334932	1.722375131	1.057206647	1.347091963	NA	1.456701597	1.002357962	1.404729754	NA	NA	NA	1.495166774	0.99783727	1.028234446	NA	NA	NA	NA	1.228155984	1.429013231	1.003539793	2.259024523	1.400943943	1.769742385	1.124881318	1.428132276	1.116000372	1.41384153	1.013509349	NA	1.113334932	1.398813622	2.428270174	1.344855604	NA	1.014798223	1.067911447	NA	1.24442846	NA	NA	NA	NA	1.619190324	NA	2.10513543	1.00589838	1.021897726	NA	1.021897726	NA	1.0139184
SNAPIN	1.801608432	1.835372184	NA	0.955219142	NA	1.981839904	1.818784336	1.854676659	1.759081839	1.23349795	2.052624994	2.226280583	1.161252332	1.923794972	1.069587231	1.386803638	1.768074662	2.019133248	NA	1.791321957	1.039753158	2.031644184	2.319359007	1.623544021	2.351515519	NA	1.127685853	0.997203284	1.968370831	1.069587231	1.863167031	1.069587231	1.387858178	1.357025255	1.069587231	1.961519951	NA	1.776600622	2.277285124	2.29917776	1.675509487	1.778699034	2.086466899	1.906190642	1.742341738	1.085321912	1.733316773	2.015098121	2.059086534	1.14651911	1.069587231	1.142773023	NA	1.069587231	1.189885173	1.919977397	1.081405105	2.485431612	2.006811775	1.302582167	2.279528927	1.863167031	1.825279963	0.943097298	1.13901671	1.625496087	NA	1.674293522	1.949516673	1.766465052	3.06712465	1.719120642	1.901700821	1.778101588	1.401666289	1.953923492	2.180861312	0.949716588	1.071138907	1.873901598
SND1	5.337774351	5.861826985	5.883666135	5.783043209	5.805099815	6.103511313	5.61379606	5.289155563	5.283668973	6.155422401	5.850900955	5.363842188	5.406152289	5.683827617	5.816039309	5.95650883	5.647139762	5.750934091	5.941651857	5.317292747	5.215171135	5.843784349	5.554183382	5.383160266	5.51364073	5.631403771	5.852154022	5.149538991	5.659215773	5.482719515	5.300546467	5.662990496	5.845253824	5.928112346	5.912659787	5.68242554	5.608293573	5.642298223	5.647271581	5.701637997	5.543151667	5.392397134	5.665963032	5.250715279	5.122312154	5.843816482	6.037495216	5.491060167	5.731198476	4.883520835	5.721139853	5.222299825	5.432292397	5.974015085	5.555935337	5.742948818	5.926352293	5.711164558	5.255168027	5.845809574	5.73725388	5.685332073	5.035941534	5.642271753	5.311265344	5.276874848	5.21555292	5.88369579	5.776500082	6.024753791	5.195870153	5.721805186	5.353739408	4.63309347	5.349710096	5.789128732	5.732377186	5.408812522	5.826099753	5.988185256
